Series Name,Series Code,Country Name,Country Code,1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Internet users (per 100 people),IT.NET.USER.P2,Europe and Central Asia (all income levels),ECS,0.564752745388684,1.02385973869577,1.84261439960838,3.3606399903322,5.43690507945626,9.24471503614266,13.1845623967629,16.4061501622585,23.0591630466869,28.3639512835122,32.359564748389,35.2259785161826,38.0824794404854,43.6731372889391,47.357025205995,50.7247619258249,56.2458829432562,59.2264672260968,63.897557677314,66.3437911026682,69.2034365478165
Internet users (per 100 people),IT.NET.USER.P2,North America,NAC,4.6178767486408,8.73682317016279,15.4694997717629,20.9751340705392,29.5855705098728,35.8824799731117,43.8793741066758,50.1620212511126,59.0571968963234,61.9397408745317,64.8742472203646,68.3278747850678,69.2704538253401,74.8236050881279,74.2665029928779,71.9166465147234,72.5404836415795,71.0425495923103,79.6679907833196,84.3604738834816,87.3379213412336
Internet users (per 100 people),IT.NET.USER.P2,Latin America & Caribbean (all income levels),LCN,0.0500678123739551,0.110083607002837,0.308723256338881,0.609594647802685,1.22966321877095,2.05248963414194,3.90371304021287,5.65075369105539,8.88695093240655,11.2871531818652,14.4023870678009,16.6297898411029,20.7526340622518,23.7029350820335,26.500479061627,31.0340800233058,34.7103993816567,39.3495781460857,43.3532777737347,46.5441948546349,50.153320418858
Internet users (per 100 people),IT.NET.USER.P2,East Asia and Pacific (all income levels),EAS,0.117382100111221,0.20957789725465,0.464733740385379,1.07985035626731,1.8827873530294,3.406408274225,5.59267987611713,7.25218674612416,8.99358781790027,10.5472436456294,12.5969642091658,14.6663590410613,16.6176466969737,20.7661147435158,25.2529265118703,29.512323897857,34.2294861026892,37.3635672532855,40.746770368038,44.4131682981947,46.8912750395826
Internet users (per 100 people),IT.NET.USER.P2,South Asia,SAS,0.00107873876266303,0.0224723895626757,0.0407987008791552,0.060047420496025,0.11701367777263,0.226317005393681,0.473920912026768,0.663556204243448,1.46254523702335,1.8431644127735,2.18437603559218,2.54668832785865,2.98334830663047,3.97340011784188,4.41682340804885,5.1571126465903,7.20654564155376,9.39604914373941,11.5157863057674,13.7500065422469,16.6099246937189
Internet users (per 100 people),IT.NET.USER.P2,Middle East and North Africa (all income levels),MEA,..,0.0371438536938771,0.0844233661728459,0.22774397938345,0.487321735165383,0.918917803760192,1.69301270400612,2.07664989074797,3.75720889498959,5.12923073963764,8.35129809407133,9.75306816804196,11.7924022548432,15.0413603774485,18.7368378825078,21.5977033056323,24.852629196698,27.6967664874704,31.2699599156372,34.6695582274081,38.2614233288785
Internet users (per 100 people),IT.NET.USER.P2,Sub-Saharan Africa (all income levels),SSF,..,..,0.0687221778911623,0.128779788567897,0.233989844020964,0.359684994742128,0.501116247778377,0.642242042029934,0.88137408235942,1.19081666509345,1.58339565917308,2.13983615093366,3.06630072670555,3.82889557367376,5.81027850706292,7.12861832886449,10.0156160395813,12.4816541567469,14.5726554576486,16.8736596876995,19.2212447812268
"Population, total",SP.POP.TOTL,Europe & Central Asia (all income levels),ECS,854549337,856102195,857333424,858726155,859806214,860985079,862073997,863554388,865246750,867562844,870213016,872968147,875755753,878819656,882358214,886063249,889630390,893094109,894962840,898837054,903110622
"Population, total",SP.POP.TOTL,North America,NAC,292297226,295691746,299126029,302704697,306162843,309600485,312993944,316113359,319050105,321847258,324864038,327892753,331014940,334184023,337405012,340465736,343417455,346128976,348931188,351720836,354462656
"Population, total",SP.POP.TOTL,Latin America & Caribbean (all income levels),LCN,478310786,486343677,494384205,502390020,510356845,518188225,525886558,533449671,540884684,548225528,555515431,562783235,570029991,577248307,584435842,591577623,598662941,605674766,612617659,619487273,626270167
"Population, total",SP.POP.TOTL,East Asia & Pacific (all income levels),EAS,1916918806,1939948993,1962640188,1984861851,2006344261,2026505631,2045719317,2064256178,2081838397,2098591746,2114733723,2130532518,2146003677,2160752292,2175660864,2190177041,2204603325,2219079073,2233889396,2248867116,2264079901
"Population, total",SP.POP.TOTL,South Asia,SAS,1233459616,1258965823,1284469918,1310019343,1335552652,1361118891,1386406570,1411288216,1436509869,1461691023,1486610311,1511135613,1535287611,1559056624,1582576481,1605926788,1629223562,1652487921,1674923307,1697997032,1721020580
"Population, total",SP.POP.TOTL,Middle East & North Africa (all income levels),MEA,277250339,284848005,290827337,296885404,302949605,309057956,315152002,321230141,327306993,333494898,339941989,346735318,353923119,361451154,369228612,377133473,384945112,393003905,401144535,409324396,417451428
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (all income levels),SSF,568228356,583892679,599858645,616161312,632857149,650030484,667742098,685795280,704102354,722925207,742396040,762555740,783427658,805010175,827287676,850225069,873800152,898002051,922840423,948287652,974315323
